,docker.io/library/fedora/34,docker.io/library/fedora/36,docker.io/library/fedora/35,docker.io/library/busybox/1.23,docker.io/library/busybox/1.27,docker.io/library/busybox/1.26,docker.io/library/busybox/1.24,docker.io/library/busybox/1.25,docker.io/library/ubuntu/22.04,docker.io/library/ubuntu/20.04,docker.io/library/ubuntu/18.04,docker.io/library/centos/7,docker.io/library/centos/8,docker.io/library/centos/6,docker.io/library/rockylinux/9.0,docker.io/library/rockylinux/8.6,docker.io/library/alpine/3.7,docker.io/library/alpine/3.10,docker.io/library/alpine/3.9,docker.io/library/alpine/3.11,docker.io/library/alpine/3.8
docker.io/library/fedora/34,1.0,0.3441462695370097,0.3605181347150259,0.0011160714285714285,0.0012510425354462051,0.0012531328320802004,0.0012545302481182046,0.0012538311507383673,0.04322860238353196,0.04292790313703908,0.03109206767743353,0.22205838985549986,0.3048695042914696,0.18723723723723723,0.8216960941680043,0.3028070502657838,0.012943162633652222,0.013080168776371307,0.013080168776371307,0.013074652045550401,0.01294134196089464
docker.io/library/fedora/36,0.3441462695370097,1.0,0.9017882895875396,0.0011071132023249377,0.0012410369553226695,0.0012430939226519336,0.0012444690265486725,0.0012437810945273632,0.030312699425654115,0.02892606583917971,0.02152747728256166,0.1872100492470202,0.2562573492356795,0.1651739832623697,0.3066781312697048,0.2789934354485777,0.011991076408254323,0.012127125731809312,0.012127125731809312,0.012122056569597325,0.011989404712114874
docker.io/library/fedora/35,0.3605181347150259,0.9017882895875396,1.0,0.001197425535099536,0.0013418816162218577,0.0013442867811799852,0.0013458950201884253,0.00134509041996712,0.025692808257601257,0.02450701014476234,0.018543956043956044,0.19001479289940829,0.2632132526952406,0.17187858398960165,0.31569982967638516,0.28802063431410013,0.011450956757571192,0.011598132248832655,0.011598132248832655,0.011592893706714845,0.011449231696294065
docker.io/library/busybox/1.23,0.0011160714285714285,0.0011071132023249377,0.001197425535099536,1.0,0.9170854271356784,0.9608355091383812,0.9813333333333333,0.9709762532981531,0.002514932411191449,0.002642880740006607,0.02079722703639515,0.0007898894154818325,0.0009466335344929594,0.006333870101986044,0.0011156045181982988,0.0010635469290082426,0.12759643916913946,0.12703101920236337,0.12703101920236337,0.1264705882352941,0.1274074074074074
docker.io/library/busybox/1.27,0.0012510425354462051,0.0012410369553226695,0.0013418816162218577,0.9170854271356784,1.0,0.9547738693467337,0.9346733668341709,0.9447236180904522,0.0024937655860349127,0.0026195153896529143,0.020604395604395604,0.0008863502068150482,0.001061696354842515,0.006531049250535332,0.0012505210504376823,0.0011923688394276629,0.12589413447782546,0.12535612535612536,0.12535612535612536,0.12482269503546099,0.12571428571428572
docker.io/library/busybox/1.26,0.0012531328320802004,0.0012430939226519336,0.0013442867811799852,0.9608355091383812,0.9547738693467337,1.0,0.97911227154047,0.9895561357702349,0.0025031289111389237,0.0026298487836949377,0.020689655172413793,0.0008873989351212779,0.00106320141760189,0.006431557508843392,0.0012526096033402922,0.0011942675159235668,0.12481857764876633,0.12427745664739884,0.12427745664739884,0.1237410071942446,0.1246376811594203
docker.io/library/busybox/1.24,0.0012545302481182046,0.0012444690265486725,0.0013458950201884253,0.9813333333333333,0.9346733668341709,0.97911227154047,1.0,0.9894459102902374,0.002509410288582183,0.0026367831245880024,0.02074688796680498,0.0008880994671403197,0.001064207165661582,0.006437077566784679,0.0012540058520273095,0.001195536663124336,0.1262848751835536,0.12573099415204678,0.12573099415204678,0.12518195050946143,0.12609970674486803
docker.io/library/busybox/1.25,0.0012538311507383673,0.0012437810945273632,0.00134509041996712,0.9709762532981531,0.9447236180904522,0.9895561357702349,0.9894459102902374,1.0,0.002506265664160401,0.0026333113890717576,0.020718232044198894,0.0008877490629315447,0.0010637040538943388,0.006434316353887399,0.0012533073388107507,0.0011949017525225705,0.12554744525547445,0.125,0.125,0.12445730824891461,0.12536443148688048
docker.io/library/ubuntu/22.04,0.04322860238353196,0.030312699425654115,0.025692808257601257,0.002514932411191449,0.0024937655860349127,0.0025031289111389237,0.002509410288582183,0.002506265664160401,1.0,0.8262895174708819,0.5918608080212326,0.03307073691120958,0.04032796262751454,0.01983271535742002,0.04445890262415962,0.04217559244179977,0.033451270504985524,0.033419023136246784,0.033419023136246784,0.033386837881219905,0.033440514469453377
docker.io/library/ubuntu/20.04,0.04292790313703908,0.02892606583917971,0.02450701014476234,0.002642880740006607,0.0026195153896529143,0.0026298487836949377,0.0026367831245880024,0.0026333113890717576,0.8262895174708819,1.0,0.656872037914692,0.03443973047167457,0.04052616307186382,0.017787078210829192,0.04394757131842714,0.04242231413723618,0.03659776347001017,0.03656059580230196,0.03656059580230196,0.03652350355089618,0.036585365853658534
